Job Title,Job link,Company name,Location,Skills
Data Analyst,https://wuzzuf.net/jobs/p/GKeosiIXhTmZ-Data-Analyst-Dsquares-Aggregated-Cairo-Egypt,"Cairo, Egypt ",Dsquares -,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Data Privacy Analyst,https://wuzzuf.net/jobs/p/DIhcsjOx7Jd7-Data-Privacy-Analyst-Transguard-group-Dubai-United-Arab-Emirates,"Dubai, United Arab Emirates ",Transguard group -,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · Microsoft Office · SQL · Microsoft Excel
Data Scientist,https://wuzzuf.net/jobs/p/Y28hk5DcLe7b-Data-Scientist-Professional-Recruitment-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Professional Recruitment -,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
Jr./Sr. Data Analyst,https://wuzzuf.net/jobs/p/iEKg9qP5YL2A-JrSr-Data-Analyst-illa-Aggregated-Cairo-Egypt,"Cairo, Egypt ",illa -,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · information technology (it) · computer science · engineering · software · sql · analytical · business
Technology Specialists - Data & AI,https://wuzzuf.net/jobs/p/47dRt56exZeD-Technology-Specialists---Data-AI-Microsoft-Aggregated-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Microsoft -,Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software · Software Development · Engineering · SQL · Software Engineering
Data Governance Engineer_VOIS,https://wuzzuf.net/jobs/p/UqSAyTlDujv7-Data-Governance-EngineerVOIS-Vodafone---Egypt-Aggregated-Cairo-Egypt,"Cairo, Egypt ",Vodafone - Egypt -,Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · engineering · computer science · information technology (it) · sql · management · quality · science
Data Analyst,https://wuzzuf.net/jobs/p/PLaodb5PEatX-Data-Analyst-Kashier-Payment-Solutions-Cairo-Egypt,"Zamalek, Cairo, Egypt ",Kashier Payment Solutions -,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Science · Data · Data Analysis · Database · ETL
Sr. Data Engineer,https://wuzzuf.net/jobs/p/02GgfoLytywN-Sr-Data-Engineer-illa-Aggregated-Cairo-Egypt,"Cairo, Egypt ",illa -,Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Information Technology (IT) · Computer Science · Software Development · Software Engineering · SQL · Computer Engineering
Data Scientist,https://wuzzuf.net/jobs/p/ILwyRZjCXPxK-Data-Scientist-DBS-Cairo-Egypt,"Maadi, Cairo, Egypt ",DBS -,Experienced · 3+ Yrs of Exp · Analyst/Research · Algorithms · Computer Science · Data Science · Information Technology (IT) · NumPy · Python · SQL · Machine Learning · data scientist
Master Data and Reference Data Specialist,https://wuzzuf.net/jobs/p/b5wKUlNeDSEj-Master-Data-and-Reference-Data-Specialist-Telecom-Systems-Provider-LLC-Cairo-Egypt,"Maadi, Cairo, Egypt ","Telecom Systems Provider, LLC -",Experienced · 3+ Yrs of Exp · Administration · IT/Software Development · Analyst/Research · Computer Science · Information Technology (IT) · Databases · SQL · Master Data Management · Data Analysis · Data
Data Quality Analyst,https://wuzzuf.net/jobs/p/0VWK2CGSypGO-Data-Quality-Analyst-Telecom-Systems-Provider-LLC-Cairo-Egypt,"Maadi, Cairo, Egypt ","Telecom Systems Provider, LLC -",Experienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Data Analysis · Computer Science · Data · Data Analytics · Databases · quality
Data Analyst,https://wuzzuf.net/jobs/p/fuYKxLZJxQzy-Data-Analyst-Cairo-Egypt,"Cairo, Egypt ",Confidential -,Experienced · 4 - 5 Yrs of Exp · Analyst/Research · Analysis · SQL · Computer Science · Tableau
